test_id,server_id,download_connections,download_bytes,download_bytes_percent,name,country,country_code,latitude,longitude,sponsor_name
4509379087,17336,5,17235096,19.58,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4509379087,33712,6,29962944,34.04,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4509379087,34238,6,18615147,21.15,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4509379087,34239,6,22209376,25.23,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4509383922,17336,4,154497,8.85,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4509383922,28422,4,455736,26.09,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4509383922,33712,4,431588,24.71,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4509383922,34239,4,704662,40.35,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4509388807,17336,4,7576264,16.51,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4509388807,28422,4,6609400,14.40,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4509388807,33712,4,23801400,51.87,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4509388807,34238,4,7901600,17.22,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4509390834,17336,7,355252598,34.50,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4509390834,28422,6,226092167,21.96,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4509390834,33712,7,224804100,21.83,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4509390834,34238,6,223552739,21.71,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4509392955,33712,7,199059022,44.11,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4509392955,34238,7,151890229,33.66,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4509392955,34239,6,35913502,7.96,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4509392955,34240,7,64393484,14.27,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
4509396611,4570,3,30272,9.72,"Seeb","Oman","OM",23.6803,58.1825,"Omantel"
4509396611,4845,4,59387,19.07,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"du"
4509396611,11722,3,101375,32.55,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"Orixcom"
4509396611,22129,3,120400,38.66,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
4509403067,17336,4,364395,48.30,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4509403067,28422,3,26372,3.50,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4509403067,33712,3,241512,32.01,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4509403067,34238,3,122168,16.19,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4509407231,17336,4,44932135,29.02,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4509407231,33712,4,56281400,36.35,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4509407231,34238,4,35116768,22.68,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4509407231,34240,4,18505200,11.95,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
4509407790,4845,4,213318299,84.09,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"du"
4509407790,11722,4,19706160,7.77,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"Orixcom"
