test_id,server_id,download_connections,download_bytes,download_bytes_percent,name,country,country_code,latitude,longitude,sponsor_name
4508023177,22129,4,5141152,17.63,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
4508023177,33712,4,4280592,14.68,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508024128,22129,14,178743049,11.08,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
4508024128,33712,14,465357836,28.84,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508024128,34238,14,591919284,36.68,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508024128,34240,14,377513376,23.40,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
4508030877,4845,4,19014212,23.37,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"du"
4508030877,17336,4,13904984,17.09,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4508030877,33712,4,34917984,42.92,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508030877,34238,4,13514956,16.61,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508031115,4845,13,534232984,38.08,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"du"
4508031115,11722,13,164988209,11.76,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"Orixcom"
4508031115,22129,13,143041962,10.20,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
4508031115,34240,12,560624850,39.96,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
4508031727,4845,9,345770088,40.51,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"du"
4508031727,11722,9,87489992,10.25,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"Orixcom"
4508031727,22129,9,72090800,8.45,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
4508031727,34240,9,348175309,40.79,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
4508036117,28422,5,32279328,17.60,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4508036117,33712,5,23200420,12.65,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508036117,34238,5,13361732,7.29,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508036117,34239,5,114534440,62.46,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
