test_id,server_id,download_connections,download_bytes,download_bytes_percent,name,country,country_code,latitude,longitude,sponsor_name
7204128171,34238,4,33420800,19.38,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7204128171,34240,4,27325200,15.85,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7204129717,17336,4,43724800,22.01,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7204129717,33712,4,90956600,45.79,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7204129717,34238,4,30398200,15.30,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7204129717,34240,4,33559968,16.89,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7204130856,28422,4,26755932,29.53,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7204130856,33712,4,18052328,19.93,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7204130856,34238,4,16782308,18.52,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7204130856,34239,4,29002328,32.01,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
7204130933,17336,4,6049748,18.54,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7204130933,33712,4,6176600,18.93,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7204130933,34238,4,15322132,46.96,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7204130933,34240,4,5081436,15.57,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7204131837,22129,4,1710720,16.65,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
7204131837,28422,4,3408480,33.18,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7204131837,33712,4,339816,3.31,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
